"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,,,,
"ND Medicaid Professional Services Fee Schedule",,,,,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Telehealth Allowed","Modifier Required","Professional Rate","Technical Rate","General Rate","ASC Rate","NDC Required","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","Service Authorization Required","LCD/NCD","EVV","General Notes"
"0153U","Onc breast mrna 101 genes","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0154U","Fgfr3 gene analysis","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0155U","Pik3ca gene analysis","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0156U","Copy number sequence alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0157U","Apc mrna seq alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0158U","Mlh1 mrna seq alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0159U","Msh2 mrna seq alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0160U","Msh6 mrna seq alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0161U","Pms2 mrna seq alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0162U","Hered colon ca trgt mrna pnl","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0163U","Onc clrct scr 3 prtn alg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0164T","Remove lumb artif disc addl","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0164U","Gi ibs ia anti-cdtb&vinculin","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0165T","Revise lumb artif disc addl","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"0165U","Peanut allg asmt epi","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0166U","Liver ds 10 biochem asy srm","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0169U","Nudt15&tpmt gene com vrnt","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0170U","Neuro asd rna next gen seq","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0171U","Trgt gen seq alys pnl dna 23","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0172U","Onc sld tum alys brca1 brca2","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0173U","Psyc gen alys panel 14 genes","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0174T","Cad cxr with interp","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0174U","Onc solid tumor 30 prtn trgt","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0175T","Cad cxr remote","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0175U","Psyc gen alys panel 15 genes","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0176U","Cdtb&vinculin igg antb ia","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
