"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,
"ND Medicaid Durable Medical Equipment Services Fee Schedule",,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Modifier Required","Rental Rate","General Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","DME ICF Responsibility","DME NF Responsibility","DME SB Responsibility","Service Authorization Required","General Notes"
"A4422","Ost pouch absorbent material","DME-Purchase","Yes",,,,"$0.20","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","31 units allowed every month"
"A4423","Ost pch for bar w lk fl/fltr","DME-Purchase","Yes",,,,"$3.21","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4424","Ost pch drain w bar & filter","DME-Purchase","Yes",,,,"$8.19","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4425","Ost pch drain for barrier fl","DME-Purchase","Yes",,,,"$6.19","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4426","Ost pch drain 2 piece system","DME-Purchase","Yes",,,,"$4.68","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4427","Ost pch drain/barr lk flng/f","DME-Purchase","Yes",,,,"$4.79","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4428","Urine ost pouch w faucet/tap","DME-Purchase","Yes",,,,"$11.23","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4429","Urine ost pouch w bltinconv","DME-Purchase","Yes",,,,"$14.23","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4430","Ost urine pch w b/bltin conv","DME-Purchase","Yes",,,,"$14.69","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","15 units allowed every month"
"A4431","Ost pch urine w barrier/tapv","DME-Purchase","Yes",,,,"$10.73","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
